year,region,flow,Manufactured goods,Agri-food products,Minerals & fuels,Precious metals & stones
2015,Africa,Exports,3323551.683315,3101181.551621,149130.94037599998,920921.0016189999
2015,Africa,Imports,1431278.184133,1034913.58819,4401095.8734100005,1952924.9242900002
2016,Africa,Exports,2374507.140063,2694343.199827,235126.420114,603441.281678
2016,Africa,Imports,1270493.582783,1089383.997207,6790208.668237,2186279.137584
2017,Africa,Exports,2348637.675234,2984276.725772,236738.988416,795581.914019
2017,Africa,Imports,1108785.365801,1114049.63812,3182532.433445,1481799.4762379997
2018,Africa,Exports,2714224.528289,2876648.312892,183356.497806,954981.440372
2018,Africa,Imports,1253837.2352,1225570.34803,2729840.207344,1449856.089994
2019,Africa,Exports,3639599.132208,2631239.995337,225236.775252,795285.4742770001
2019,Africa,Imports,1554220.087182,1288733.506586,1577185.012663,1514913.194799
2020,Africa,Exports,3097556.304524,2872825.544998,321470.495512,416430.381397
2020,Africa,Imports,1691084.129129,1377242.708532,1615981.234653,3962127.183861
2021,Africa,Exports,2744179.766065,3177672.776428,575513.9343709999,400137.184749
2021,Africa,Imports,2083636.088728,1422833.513629,4412705.321204,2597690.922437
2022,Africa,Exports,2979106.501817,2710145.329103,624786.190252,492873.72861900006
2022,Africa,Imports,2658709.3013239997,1606204.0417240001,4831582.709488,3318541.461571
2023,Africa,Exports,2822478.11286,3497760.925162,225533.983717,432967.284857
2023,Africa,Imports,2433331.040039,1533622.309316,5783039.181158001,3310617.902643
2024,Africa,Exports,2612010.462793,2720212.606354,629182.850888,261815.391981
2024,Africa,Imports,2230187.250037,1865521.708989,3523272.778066,2348400.983662
